,Instrument,Name,RIC_XMUN,Ticker_XMUN,RIC_main,Ticker_main,Exchange_main,Cap,Sector
1301,US8581552036,Steelcase Inc,SCSU.GTX,GJB,SCS.N,SCS,"NEW YORK STOCK EXCHANGE, INC.",0.93704808162,Industrials
1302,US45253H1014,ImmunoGen Inc,IMGN.GTX,IMU,IMGN.OQ,IMGN,NASDAQ/NGS (GLOBAL SELECT MARKET),1.037351523,Healthcare
1303,US88642R1095,Tidewater Inc,TD9.GTX,TD9,TDW.N,TDW,"NEW YORK STOCK EXCHANGE, INC.",1.03943109424,Energy
1304,US61775R1059,Morphic Holding Inc,31Y.GTX,31Y,MORF.OQ,MORF,NASDAQ/NMS (GLOBAL MARKET),1.03464811651,Healthcare
1305,US45667G1031,Infinera Corp,INFN.GTX,IX6,INFN.OQ,INFN,NASDAQ/NGS (GLOBAL SELECT MARKET),1.03694551424,Technology
1306,US7437131094,Proto Labs Inc,PRZ1.GTX,PRZ,PRLB.N,PRLB,"NEW YORK STOCK EXCHANGE, INC.",1.007713584,Industrials
1307,US6496045013,New York Mortgage Trust Inc,NYMO.GTX,NKZB,NYMT.OQ,NYMT,NASDAQ/NGS (GLOBAL SELECT MARKET),0.98963552284,Real Estate
1308,CA8676EP1086,Sunopta Inc,SOY.GTX,ZSK,SOY.TO,SOY,TORONTO STOCK EXCHANGE,1.34764784397,Consumer Non-Cyclicals
1309,US2505651081,Designer Brands Inc,D9W.GTX,D9W,DBI.N,DBI,"NEW YORK STOCK EXCHANGE, INC.",1.00140277499,Consumer Cyclicals
1310,IL0011267213,Stratasys Ltd,SCY.GTX,SCY,SSYS.OQ,SSYS,NASDAQ/NGS (GLOBAL SELECT MARKET),0.97322857398,Technology
1311,US11778X1046,BTRS Holdings Inc,62Y0.GTX,62Y0,BTRS.OQ,BTRS,NASDAQ/NGS (GLOBAL SELECT MARKET),0.96569165749,Industrials
1312,US08862E1091,Beyond Meat Inc,0Q3.GTX,0Q3,BYND.OQ,BYND,NASDAQ/NGS (GLOBAL SELECT MARKET),0.970932852,Consumer Non-Cyclicals
1313,US98983V1061,Zuora Inc,2ZU.GTX,2ZU,ZUO.N,ZUO,"NEW YORK STOCK EXCHANGE, INC.",0.985293,Technology
1314,US05367P1003,Avid Technology Inc,AVID.GTX,AVD,AVID.OQ,AVID,NASDAQ/NGS (GLOBAL SELECT MARKET),0.98337903931,Technology
1315,US60935Y2081,MoneyGram International Inc,9M1N.GTX,9M1N,MGI.OQ,MGI,NASDAQ/NGS (GLOBAL SELECT MARKET),1.0078417108,Industrials
1316,US7291391057,Pliant Therapeutics Inc,9PT.GTX,9PT,PLRX.OQ,PLRX,NASDAQ/NGS (GLOBAL SELECT MARKET),0.99944067986,Healthcare
1317,US18914F1030,Clover Health Investments Corp,7QD.GTX,7QD,CLOV.OQ,CLOV,NASDAQ/NGS (GLOBAL SELECT MARKET),0.9791679163,Healthcare
1318,US4219061086,Healthcare Services Group Inc,HCSE.GTX,HS1,HCSG.OQ,HCSG,NASDAQ/NGS (GLOBAL SELECT MARKET),0.97825334,Industrials
1319,US9224171002,Veeco Instruments Inc,VECO.GTX,VEO,VECO.OQ,VECO,NASDAQ/NGS (GLOBAL SELECT MARKET),0.977079427,Technology
1320,US36162J1060,Geo Group Inc,GEGG.GTX,GEG,GEO.N,GEO,"NEW YORK STOCK EXCHANGE, INC.",0.95921924807,Real Estate
1321,US0021211018,A10 Networks Inc,8A0.GTX,8A0,ATEN.N,ATEN,"NEW YORK STOCK EXCHANGE, INC.",0.98718949584,Technology
1322,CA2926717083,Energy Fuels Inc,VO51.GTX,VO51,UUUU.A,UUUU,NYSE MKT LLC,0.93916710904,Energy
1323,US7672921050,Riot Blockchain Inc,AP4N.GTX,AP4N,RIOT.OQ,RIOT,NASDAQ CAPITAL MARKET,0.97975920368,Technology
1324,US3741631036,Geron Corp,GERN.GTX,GON,GERN.OQ,GERN,NASDAQ/NGS (GLOBAL SELECT MARKET),0.9294344325,Healthcare
1325,US28106W1036,Editas Medicine Inc,8EM.GTX,8EM,EDIT.OQ,EDIT,NASDAQ/NGS (GLOBAL SELECT MARKET),0.91283068,Healthcare
1326,US59100U1088,Pathward Financial Inc,FM7.GTX,FM7,CASH.OQ,CASH,NASDAQ/NGS (GLOBAL SELECT MARKET),0.9433677944,Financials
1327,US74915M1009,Qurate Retail Inc,LB3A.GTX,LB3A,QRTEA.OQ,QRTEA,NASDAQ/NGS (GLOBAL SELECT MARKET),0.92579813192,Consumer Cyclicals
1328,US00164V1035,AMC Networks Inc,9AC.GTX,9AC,AMCX.OQ,AMCX,NASDAQ/NGS (GLOBAL SELECT MARKET),0.91975114837,Consumer Cyclicals
1329,US82312B1061,Shenandoah Telecommunications Co,SHET.GTX,SH9,SHEN.OQ,SHEN,NASDAQ/NGS (GLOBAL SELECT MARKET),0.91840605444,Technology
1330,US55955D1000,Magnite Inc,15R.GTX,15R,MGNI.OQ,MGNI,NASDAQ/NGS (GLOBAL SELECT MARKET),0.88668682852,Technology
1331,US25058X1054,Desktop Metal Inc,844.GTX,844,DM.N,DM,"NEW YORK STOCK EXCHANGE, INC.",0.81732693714,Technology
1332,US90346E1038,US Silica Holdings Inc,USI.GTX,USI,SLCA.N,SLCA,"NEW YORK STOCK EXCHANGE, INC.",0.90742220354,Basic Materials
1333,US7194051022,Photronics Inc,PLAB.GTX,PQ2,PLAB.OQ,PLAB,NASDAQ/NGS (GLOBAL SELECT MARKET),0.92534082,Technology
1334,CA22587M1068,Cresco Labs Inc,6CQ.GTX,6CQ,CL.CD,CL,CANADIAN NATIONAL STOCK EXCHANGE,1.21831304610424,Healthcare
1335,US60878Y1082,Momentive Global Inc,2K90.GTX,2K90,MNTV.OQ,MNTV,NASDAQ/NGS (GLOBAL SELECT MARKET),0.83698171074,Technology
1336,US0952291005,Blucora Inc,3EV.GTX,3EV,BCOR.OQ,BCOR,NASDAQ/NGS (GLOBAL SELECT MARKET),0.90335764992,Financials
1337,US3936571013,Greenbrier Companies Inc,GBXC.GTX,G90,GBX.N,GBX,"NEW YORK STOCK EXCHANGE, INC.",0.90724117824,Industrials
1338,US6932821050,PDF Solutions Inc,PDFS.GTX,PD9,PDFS.OQ,PDFS,NASDAQ/NGS (GLOBAL SELECT MARKET),0.88954117382,Technology
1339,VGG6483G1000,Newegg Commerce Inc,J8D.GTX,J8D,NEGG.OQ,NEGG,NASDAQ CAPITAL MARKET,0.87698316375,Technology
1340,US88322Q1085,TG Therapeutics Inc,NKB2.GTX,NKB2,TGTX.OQ,TGTX,NASDAQ CAPITAL MARKET,0.88471895232,Healthcare
1341,US02607T1097,Necessity Retail REIT Inc,3FG.GTX,3FG,RTL.OQ,RTL,NASDAQ/NGS (GLOBAL SELECT MARKET),0.89023152924,Real Estate
1342,US05684B1070,Bain Capital Specialty Finance Inc,618.GTX,618,BCSF.N,BCSF,"NEW YORK STOCK EXCHANGE, INC.",0.89418737025,Financials
1343,US86646P1030,Sumo Logic Inc,SU5.GTX,SU5,SUMO.OQ,SUMO,NASDAQ/NGS (GLOBAL SELECT MARKET),0.858279194,Technology
1344,US08160H1014,Benchmark Electronics Inc,BHE.GTX,BMU,BHE.N,BHE,"NEW YORK STOCK EXCHANGE, INC.",0.89059170546,Technology
1345,US75615P1030,Reata Pharmaceuticals Inc,2R3.GTX,2R3,RETA.OQ,RETA,NASDAQ/NMS (GLOBAL MARKET),0.87810720954,Healthcare
1346,US8004221078,John B Sanfilippo & Son Inc,JBSS.GTX,JO1,JBSS.OQ,JBSS,NASDAQ/NGS (GLOBAL SELECT MARKET),0.89414046945,Consumer Non-Cyclicals
1347,US02081G2012,Alphatec Holdings Inc,L1Z1.GTX,L1Z1,ATEC.OQ,ATEC,NASDAQ/NGS (GLOBAL SELECT MARKET),0.85608962194,Healthcare
1348,US8641591081,Sturm Ruger & Company Inc,RGR.GTX,ST2,RGR.N,RGR,"NEW YORK STOCK EXCHANGE, INC.",0.8977451227,Consumer Cyclicals
1349,US6915431026,Oxford Lane Capital Corp,4RQ.GTX,4RQ,OXLC.OQ,OXLC,NASDAQ/NGS (GLOBAL SELECT MARKET),0.830484,Financials
1350,US00108J1097,ACM Research Inc,813.GTX,813,ACMR.OQ,ACMR,NASDAQ/NMS (GLOBAL MARKET),0.83804985936,Technology
1351,US14167L1035,CareDx Inc,1K9.GTX,1K9,CDNA.OQ,CDNA,NASDAQ/NMS (GLOBAL MARKET),0.85853750356,Healthcare
1352,US00437E1029,Accolade Inc,4NE1.GTX,4NE1,ACCD.OQ,ACCD,NASDAQ/NGS (GLOBAL SELECT MARKET),0.84596809968,Healthcare
1353,US4016171054,Guess? Inc,GES.GTX,GU9,GES.N,GES,"NEW YORK STOCK EXCHANGE, INC.",0.85086537732,Consumer Cyclicals
1354,US4495851085,IGM Biosciences Inc,1K0.GTX,1K0,IGMS.OQ,IGMS,NASDAQ/NGS (GLOBAL SELECT MARKET),0.8428992572,Healthcare
1355,US1921085049,Coeur Mining Inc,CDE.GTX,CDM1,CDE.N,CDE,"NEW YORK STOCK EXCHANGE, INC.",0.842602296,Basic Materials
1356,US4835481031,Kaman Corp,KA1.GTX,KA1,KAMN.N,KAMN,"NEW YORK STOCK EXCHANGE, INC.",0.84477671408,Industrials
1357,KYG8232Y1017,SMART Global Holdings Inc.,850.GTX,850,SGH.OQ,SGH,NASDAQ/NGS (GLOBAL SELECT MARKET),0.83885790696,Technology
1358,US92536C1036,Veru Inc,FMW.GTX,FMW,VERU.OQ,VERU,NASDAQ CAPITAL MARKET,0.85516566245,Consumer Non-Cyclicals
1359,US92922P1066,W&T Offshore Inc,WTI.GTX,UWV,WTI.N,WTI,"NEW YORK STOCK EXCHANGE, INC.",0.8159800002,Energy
1360,US8068821060,Schnitzer Steel Industries Inc,SNIT.GTX,SS1A,SCHN.OQ,SCHN,NASDAQ/NGS (GLOBAL SELECT MARKET),0.83878059504,Basic Materials
1361,US42805E3062,Heska Corp,HSKN.GTX,HSKN,HSKA.OQ,HSKA,NASDAQ CAPITAL MARKET,0.82883554595,Healthcare
1362,US28852N1090,Ellington Financial Inc,1EL.GTX,1EL,EFC.N,EFC,"NEW YORK STOCK EXCHANGE, INC.",0.82801692799,Real Estate
1363,US83125X1037,Sleep Number Corp,SL2.GTX,SL2,SNBR.OQ,SNBR,NASDAQ/NGS (GLOBAL SELECT MARKET),0.78565228,Consumer Cyclicals
1364,US45781M1018,Innoviva Inc,HVE.GTX,HVE,INVA.OQ,INVA,NASDAQ/NGS (GLOBAL SELECT MARKET),0.82740982829,Healthcare
1365,US77313F1066,Rocket Pharmaceuticals Inc,9IP1.GTX,9IP1,RCKT.OQ,RCKT,NASDAQ/NMS (GLOBAL MARKET),0.83412778836,Healthcare
1366,US56400P7069,MannKind Corp,NNFN.GTX,NNFN,MNKD.OQ,MNKD,NASDAQ/NMS (GLOBAL MARKET),0.81576228103,Healthcare
1367,US7580754023,Redwood Trust Inc,RWT.GTX,R2V,RWT.N,RWT,"NEW YORK STOCK EXCHANGE, INC.",0.76248060217,Real Estate
1368,US09627J1025,Bluerock Residential Growth REIT Inc,BKOG.GTX,BKO,BRG.A,BRG,NYSE MKT LLC,0.82184597376,Real Estate
1369,US38268T1034,GoPro Inc,5G5.GTX,5G5,GPRO.OQ,GPRO,NASDAQ/NGS (GLOBAL SELECT MARKET),0.79736707072,Technology
1370,US67623C1099,Office Properties Income Trust,GOK1.GTX,GOKA,OPI.OQ,OPI,NASDAQ/NGS (GLOBAL SELECT MARKET),0.80193149125,Real Estate
1371,US64082B1026,NerdWallet Inc,6OI.GTX,6OI,NRDS.OQ,NRDS,NASDAQ/NMS (GLOBAL MARKET),0.70844298233,Technology
1372,US81617J3014,Select Energy Services Inc,18RA.GTX,18RA,WTTR.N,WTTR,"NEW YORK STOCK EXCHANGE, INC.",0.8060631882,Energy
1373,US04208T1088,Armada Hoffler Properties Inc,791.GTX,791,AHH.N,AHH,"NEW YORK STOCK EXCHANGE, INC.",0.7890504225,Real Estate
1374,US74967R1068,RMR Group Inc,26R.GTX,26R,RMR.OQ,RMR,NASDAQ CAPITAL MARKET,0.8016932222,Real Estate
1375,US47580P1030,JELD-WEN Holding Inc,0JW.GTX,0JW,JELD.N,JELD,"NEW YORK STOCK EXCHANGE, INC.",0.80635730934,Consumer Cyclicals
1376,US83413U1007,SLR Investment Corp,SLRC.GTX,ZSL,SLRC.OQ,SLRC,NASDAQ/NGS (GLOBAL SELECT MARKET),0.76024439588,Financials
1377,US8006771062,Sangamo Therapeutics Inc,SGMO.GTX,GBY,SGMO.OQ,SGMO,NASDAQ/NGS (GLOBAL SELECT MARKET),0.78902765928,Healthcare
1378,US6047491013,Mirum Pharmaceuticals Inc,08D.GTX,08D,MIRM.OQ,MIRM,NASDAQ/NMS (GLOBAL MARKET),0.8168327992,Healthcare
1379,US10948C1071,Brightview Holdings Inc,7BV.GTX,7BV,BV.N,BV,"NEW YORK STOCK EXCHANGE, INC.",0.77283,Industrials
1380,US14575E1055,Cars.com Inc,CK3.GTX,CK3,CARS.N,CARS,"NEW YORK STOCK EXCHANGE, INC.",0.7797603474,Technology
1381,US2067871036,Conduent Inc,4C0.GTX,4C0,CNDT.OQ,CNDT,NASDAQ/NGS (GLOBAL SELECT MARKET),0.78117902582,Technology
1382,KYG4740B1059,Ichor Holdings Ltd,4IH.GTX,4IH,ICHR.OQ,ICHR,NASDAQ/NGS (GLOBAL SELECT MARKET),0.75642648256,Technology
1383,US68622D1063,Origin Materials Inc,5ER.GTX,5ER,ORGN.OQ,ORGN,NASDAQ CAPITAL MARKET,0.739680682,Basic Materials
1384,US0028962076,Abercrombie & Fitch Co,ANF.GTX,AFT,ANF.N,ANF,"NEW YORK STOCK EXCHANGE, INC.",0.77197099259,Consumer Cyclicals
1385,US76029N1063,Replimune Group Inc,7R8.GTX,7R8,REPL.OQ,REPL,NASDAQ/NGS (GLOBAL SELECT MARKET),0.77806026252,Healthcare
1386,US03761U5020,MidCap Financial Investment Corp,55O1.GTX,55O1,MFIC.OQ,MFIC,NASDAQ/NGS (GLOBAL SELECT MARKET),0.72538375956,Financials
1387,US2480191012,Deluxe Corp,DLX.GTX,DL8,DLX.N,DLX,"NEW YORK STOCK EXCHANGE, INC.",0.7470992754,Industrials
1388,US31154R1095,Farmland Partners Inc,0FA.GTX,0FA,FPI.N,FPI,"NEW YORK STOCK EXCHANGE, INC.",0.74901056488,Real Estate
1389,US00771V1089,Aerie Pharmaceuticals Inc,0P0.GTX,0P0,AERI.OQ,AERI,NASDAQ/NMS (GLOBAL MARKET),0.74810765726,Healthcare
1390,US2620371045,Dril-Quip Inc,DRQ.GTX,DQU,DRQ.N,DRQ,"NEW YORK STOCK EXCHANGE, INC.",0.74282017349,Energy
1391,US75737F1084,Redfin Corp,R6G.GTX,R6G,RDFN.OQ,RDFN,NASDAQ/NGS (GLOBAL SELECT MARKET),0.6854341148,Real Estate
1392,US4198791018,Hawaiian Holdings Inc,1HW.GTX,1HW,HA.OQ,HA,NASDAQ/NGS (GLOBAL SELECT MARKET),0.72043034604,Industrials
1393,US83587F2020,Sorrento Therapeutics Inc,8STN.GTX,8STN,SRNE.OQ,SRNE,NASDAQ CAPITAL MARKET,0.72892250406,Healthcare
1394,US92552R4065,Viad Corp,VVI.GTX,DIL1,VVI.N,VVI,"NEW YORK STOCK EXCHANGE, INC.",0.6866874252,Consumer Cyclicals
1395,US19249H1032,Coherus BioSciences Inc,8C5.GTX,8C5,CHRS.OQ,CHRS,NASDAQ/NMS (GLOBAL MARKET),0.73216562838,Healthcare
1396,US0144421072,Alector Inc,0Z2.GTX,0Z2,ALEC.OQ,ALEC,NASDAQ/NGS (GLOBAL SELECT MARKET),0.72573686559,Healthcare
1397,US0423155078,ARMOUR Residential REIT Inc,2AR1.GTX,2AR1,ARR.N,ARR,"NEW YORK STOCK EXCHANGE, INC.",0.71990504308,Real Estate
1398,US5381461012,LivePerson Inc,LPSN.GTX,LVO,LPSN.OQ,LPSN,NASDAQ/NGS (GLOBAL SELECT MARKET),0.71936845568,Technology
1399,US81948W1045,Sharecare Inc,8DJ0.GTX,8DJ0,SHCR.OQ,SHCR,NASDAQ/NGS (GLOBAL SELECT MARKET),0.704791788,Technology
1400,US0327241065,AnaptysBio Inc,AN6.GTX,AN6,ANAB.OQ,ANAB,NASDAQ/NGS (GLOBAL SELECT MARKET),0.7215118666,Healthcare
1401,US5771281012,Matthews International Corp,MATWa.GTX,MW1A,MATW.OQ,MATW,NASDAQ/NGS (GLOBAL SELECT MARKET),0.71249713416,Consumer Cyclicals
1402,US7495271071,REV Group Inc,1RG.GTX,1RG,REVG.N,REVG,"NEW YORK STOCK EXCHANGE, INC.",0.69467858314,Industrials
1403,US92672L1070,ViewRay Inc,6L9.GTX,6L9,VRAY.OQ,VRAY,NASDAQ/NMS (GLOBAL MARKET),0.68602625135,Healthcare
1404,US8592411016,Sterling Infrastructure Inc,UAO.GTX,UAO,STRL.OQ,STRL,NASDAQ/NGS (GLOBAL SELECT MARKET),0.68387987001,Industrials
1405,US0327973006,Anavex Life Sciences Corp,12X1.GTX,12X1,AVXL.OQ,AVXL,NASDAQ/NGS (GLOBAL SELECT MARKET),0.7279858921,Healthcare
1406,US71363P1066,Perdoceo Education Corp,CE1G.GTX,CE1,PRDO.OQ,PRDO,NASDAQ/NGS (GLOBAL SELECT MARKET),0.69992519249,Academic & Educational Services
1407,US92846Q1076,Vita Coco Company Inc,85E.GTX,85E,COCO.OQ,COCO,NASDAQ/NGS (GLOBAL SELECT MARKET),0.69901484288,Consumer Non-Cyclicals
1408,US25271C2017,Diamond Offshore Drilling Inc,DO10.GTX,DO10,DO.N,DO,"NEW YORK STOCK EXCHANGE, INC.",0.68229477608,Energy
1409,US41165Y1001,HarborOne Bancorp Inc,1S4.GTX,1S4,HONE.OQ,HONE,NASDAQ/NGS (GLOBAL SELECT MARKET),0.71043639792,Financials
1410,US09259E1082,BlackRock TCP Capital Corp,8TC.GTX,8TC,TCPC.OQ,TCPC,NASDAQ/NGS (GLOBAL SELECT MARKET),0.70129458496,Financials
